įrodyti,irodyti,"to prove"
audra,audra,"storm"
upelis,upelis,"stream"
styga,styga,"string"
kvailas,kvailas,"stupid"
cukrus,cukrus,"sugar"
sūpynės,supynes,"swing"
uodega,uodega,"tail"
aukštas,aukstas,"tall"
skonis,skonis,"taste"
taksi,taksi,"taxi"
arbata,arbata,"tea"
šiurpus,siurpus,"terrible"
teatras,teatras,"theatre"
gerklė,gerkle,"throat"
nykštys,nykstys,"thumb"
ankštas,ankstas,"tight"
žavėtis,zavetis,"to admire"
priimti,priimti,"to admit"
pajėgti,pajegti,"to afford"
suimti,suimti,"to arrest"
kepti,kepti,"to bake"
mušti,musti,"to beat"
elgtis,elgtis,"to behave"
pūsti,pusti,"to blow"
skųstis,skustis,"to complain"
virti,virti,"to cook"
kosėti,koseti,"to cough"
sudužti,suduzti,"to crash"
verkti,verkti,"to cry"
apvilti,apvilti,"to disappoint"
atmesti,atmesti,"to dismiss"
auklėti,aukleti,"to educate"
keistis,keistis,"to exchange"
žvejoti,zvejoti,"to fish"
tekėti,teketi,"to flow"
išrasti,israsti,"to invent"
sunerti,sunerti,"to joint"
maišyti,maisyti,"to mix"
įžeisti,izeisti,"to offend"
reikėti,reiketi,"to ought"
melstis,melstis,"to pray"
nuomoti,nuomoti,"to rent"
prašyti,prasyti,"to request"
taupyti,taupyti,"to reserve"
irtis,irtis,"to row"
rūdyti,rudyti,"to rust"
pjauti,pjauti,"to saw"
sverti,sverti,"to scale"
šviesti,sviesti,"to shine"
šaukti,saukti,"to shout"
kvepėti,kvepeti,"to smell"
išlieti,islieti,"to spill"
skelti,skelti,"to split"
tekėti,teketi,"to stream"
kovoti,kovoti,"to struggle"
įspėti,ispeti,"to warn"
eikvoti,eikvoti,"to waste"
rytoj,rytoj,"tomorrow"
tona,tona,"ton"
šįvakar,sivakar,"tonight"
įrankis,irankis,"tool"
kietas,kietas,"tough"
kelionė,kelione,"tour"
bokštas,bokstas,"tower"
spąstai,spastai,"trap"
liemuo,liemuo,"trunk"
vamzdis,vamzdis,"tube"
bjaurus,bjaurus,"ugly"
skėtis,sketis,"umbrella"
dėdė,dede,"uncle"
visata,visata,"universe"
slėnis,slenis,"valley"
pergalė,pergale,"victory"
kaimas,kaimas,"village"
smurtas,smurtas,"violence"
dorybė,dorybe,"virtue"
talija,talija,"waist"
vaškas,vaskas,"wax"
silpnas,silpnas,"weak"
turtas,turtas,"wealth"
orai,orai,"weather"
šlapias,slapias,"wet"
ratas,ratas,"wheel"
kurgi,kurgi,"wherever"
plotis,plotis,"width"
vynas,vynas,"wine"
sparnas,sparnas,"wing"
žiema,ziema,"winter"
viela,viela,"wire"
mediena,mediena,"wood"
medinis,medinis,"wooden"
vilna,vilna,"wool"
žaizda,zaizda,"wound"
riešas,riesas,"wrist"
vakar,vakar,"yesterday"
nulis,nulis,"zero"
kyšis,kysis,"bribe"
suolas,suolas,"bench"
eismas,eismas,"traffic"
kinas,kinas,"cinema"
paroda,paroda,"exhibition"
cirkas,cirkas,"circus"
mokykla,mokykla,"school"
